degree,r,g,b
151,0,204,105
152,0,204,109
153,0,204,112
154,0,204,116
155,0,204,119
156,0,204,122
157,0,204,126
158,0,204,129
159,0,204,133
160,0,204,136
161,0,204,139
162,0,204,143
163,0,204,146
164,0,204,150
165,0,204,153
166,0,204,156
167,0,204,160
168,0,204,163
169,0,204,167
170,0,204,170
181,0,201,204
182,0,197,204
183,0,194,204
184,0,190,204
185,0,187,204
186,0,184,204
187,0,180,204
188,0,177,204
189,0,173,204
190,0,170,204
191,0,167,204
192,0,163,204
193,0,160,204
194,0,156,204
195,0,153,204
196,0,150,204
197,0,146,204
198,0,143,204
199,0,139,204
200,0,136,204
211,0,99,204
212,0,95,204
213,0,92,204
214,0,88,204
215,0,85,204
216,0,82,204
217,0,78,204
218,0,75,204
219,0,71,204
220,0,68,204
221,0,65,204
222,0,61,204
223,0,58,204
224,0,54,204
225,0,51,204
226,0,48,204
227,0,44,204
228,0,41,204
229,0,37,204
230,0,34,204